Name,Earth_Departure,Dest_Arrival,"Duration (days)","C3 (km2/s2)","Abs DLA (degs)","Injection DV (km/s)","Post-injection DV (km/s)","Total DV (km/s)",Route,
"Venus",Oct-20-2019,Nov-07-2020,384,13.7,4,3.83,1.13,4.96,EV,
"Venus",Oct-16-2035,Nov-03-2036,384,12.9,5,3.8,1.19,4.98,EV,
"Venus",Dec-08-2037,Jun-26-2041,1296,24.6,19,4.29,0.71,5,EEV,
"Venus",Dec-12-2021,Jun-30-2025,1296,24.8,18,4.3,0.73,5.03,EEV,
"Venus",Dec-02-2029,Jun-20-2033,1296,24.6,21,4.29,0.75,5.04,EEV,
"Venus",Oct-10-2027,Oct-28-2028,384,15.7,9,3.92,1.14,5.05,EV,
"Venus",Apr-13-2020,Jul-18-2020,96,23.3,11,4.24,0.84,5.07,EV,
"Venus",Apr-09-2036,Jul-14-2036,96,23.5,12,4.25,0.84,5.08,EV,
"Venus",Oct-20-2025,Jun-22-2028,976,25.1,22,4.31,0.81,5.12,EEV,
"Venus",Apr-25-2036,Nov-12-2039,1296,26.1,23,4.35,0.78,5.13,EEV,
"Venus",Dec-31-2028,Sep-03-2031,976,24.8,12,4.3,0.83,5.13,EEV,
"Venus",Apr-19-2028,Nov-06-2031,1296,26.1,23,4.35,0.79,5.15,EEV,
"Venus",Oct-10-2033,Jun-12-2036,976,25.4,20,4.33,0.82,5.15,EEV,
"Venus",Apr-03-2028,Jul-08-2028,96,16.6,10,3.95,1.19,5.15,EV,
"Venus",Jan-06-2037,Sep-09-2039,976,24.8,9,4.3,0.85,5.15,EEV,
"Venus",Jul-29-2024,Aug-17-2025,384,12.3,15,3.77,1.39,5.16,EV,
"Venus",Nov-24-2026,May-11-2030,1264,24.9,22,4.3,0.87,5.17,EEV,
"Venus",Mar-28-2020,Oct-31-2023,1312,25.9,21,4.35,0.83,5.17,EEV,
"Venus",Jan-10-2021,Sep-13-2023,976,24.6,8,4.29,0.89,5.18,EEV,
